frame	id	x	y	warped_x	warped_y	peak_value	warped_pv	climbed_wpv	dis	pid
1	26	878.0000	176.0000	878.0000	176.0000	0.7901	0.7901	0.0000	0.0000	0.0000
0	27	839.0000	181.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	27	839.0000	179.0000	839.0000	181.0000	0.7986	0.7986	0.0000	0.0000	0.0000
0	28	919.0000	180.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	28	919.0000	180.0000	919.0000	180.0000	0.6731	0.6731	0.0000	0.0000	0.0000
0	29	931.0000	188.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	29	931.0000	188.0000	931.0000	188.0000	0.7924	0.7924	0.0000	0.0000	0.0000
0	30	1019.0000	191.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	30	1019.0000	191.0000	1019.0000	191.0000	0.7643	0.7643	0.0000	0.0000	0.0000
0	31	788.0000	202.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	31	788.0000	202.0000	788.0000	202.0000	0.8067	0.8067	0.0000	0.0000	0.0000
0	32	933.0000	205.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	32	933.0000	205.0000	933.0000	205.0000	0.7996	0.7996	0.0000	0.0000	0.0000
0	33	835.0000	227.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	33	835.0000	227.0000	835.0000	227.0000	0.8119	0.8119	0.0000	0.0000	0.0000
0	34	1037.0000	235.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	34	1037.0000	233.0000	1037.0000	235.0000	0.6507	0.6507	0.0000	0.0000	0.0000
0	35	832.0000	239.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	35	832.0000	239.0000	832.0000	239.0000	0.8021	0.8021	0.0000	0.0000	0.0000
0	36	868.0000	240.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	36	868.0000	240.0000	868.0000	240.0000	0.8003	0.8003	0.0000	0.0000	0.0000
0	37	853.0000	247.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	37	853.0000	247.0000	853.0000	247.0000	0.8001	0.8001	0.0000	0.0000	0.0000
0	38	1016.0000	252.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	38	1016.0000	252.0000	1016.0000	252.0000	0.7650	0.7650	0.0000	0.0000	0.0000
0	39	840.0000	258.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	39	840.0000	258.0000	840.0000	258.0000	0.8101	0.8101	0.0000	0.0000	0.0000
0	40	877.0000	262.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	40	875.0000	262.0000	877.0000	262.0000	0.7595	0.7595	0.0000	0.0000	0.0000
0	41	1041.0000	269.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	41	1041.0000	267.0000	1041.0000	269.0000	0.7515	0.7515	0.0000	0.0000	0.0000
0	42	861.0000	271.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	42	861.0000	271.0000	861.0000	271.0000	0.7482	0.7482	0.0000	0.0000	0.0000
0	43	838.0000	275.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	43	838.0000	274.0000	838.0000	275.0000	0.7999	0.7999	0.0000	0.0000	0.0000
0	44	825.0000	284.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	44	825.0000	284.0000	825.0000	284.0000	0.7903	0.7903	0.0000	0.0000	0.0000
0	45	879.0000	287.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	45	879.0000	287.0000	879.0000	287.0000	0.7781	0.7781	0.0000	0.0000	0.0000
0	46	860.0000	289.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	46	860.0000	290.0000	860.0000	289.0000	0.7878	0.7878	0.0000	0.0000	0.0000
0	47	808.0000	292.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	47	808.0000	292.0000	808.0000	292.0000	0.7989	0.7989	0.0000	0.0000	0.0000
0	48	1029.0000	303.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	48	1029.0000	301.0000	1029.0000	303.0000	0.7766	0.7766	0.0000	0.0000	0.0000
0	49	1043.0000	301.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	49	1043.0000	301.0000	1043.0000	301.0000	0.6472	0.6472	0.0000	0.0000	0.0000
0	50	876.0000	304.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	50	875.0000	304.0000	876.0000	304.0000	0.7861	0.7861	0.0000	0.0000	0.0000
0	51	826.0000	309.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	51	826.0000	309.0000	826.0000	309.0000	0.7957	0.7957	0.0000	0.0000	0.0000
0	52	835.0000	310.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	52	835.0000	309.0000	835.0000	310.0000	0.7998	0.7998	0.0000	0.0000	0.0000
0	53	902.0000	308.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	53	902.0000	308.0000	902.0000	308.0000	0.7963	0.7963	0.0000	0.0000	0.0000
0	54	887.0000	312.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	54	887.0000	311.0000	887.0000	312.0000	0.7923	0.7923	0.0000	0.0000	0.0000
0	55	777.0000	320.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	55	777.0000	320.0000	777.0000	320.0000	0.7979	0.7979	0.0000	0.0000	0.0000
0	56	853.0000	323.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	56	853.0000	324.0000	853.0000	323.0000	0.7802	0.7802	0.0000	0.0000	0.0000
0	57	872.0000	329.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	57	872.0000	329.0000	872.0000	329.0000	0.7935	0.7935	0.0000	0.0000	0.0000
0	58	830.0000	334.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	58	831.0000	333.0000	830.0000	334.0000	0.6653	0.6653	0.0000	0.0000	0.0000
0	59	885.0000	332.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	59	885.0000	332.0000	885.0000	332.0000	0.7809	0.7809	0.0000	0.0000	0.0000
0	60	904.0000	334.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	60	904.0000	334.0000	904.0000	334.0000	0.7976	0.7976	0.0000	0.0000	0.0000
0	61	813.0000	352.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	61	814.0000	351.0000	813.0000	352.0000	0.7956	0.7956	0.0000	0.0000	0.0000
0	62	850.0000	350.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	62	850.0000	351.0000	850.0000	350.0000	0.8009	0.8009	0.0000	0.0000	0.0000
0	63	1047.0000	353.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	63	1047.0000	352.0000	1047.0000	353.0000	0.5092	0.5092	0.0000	0.0000	0.0000
0	64	887.0000	356.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	64	887.0000	355.0000	887.0000	356.0000	0.7924	0.7924	0.0000	0.0000	0.0000
0	65	842.0000	358.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	65	842.0000	359.0000	842.0000	358.0000	0.7806	0.7806	0.0000	0.0000	0.0000
0	66	913.0000	369.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	66	913.0000	369.0000	913.0000	369.0000	0.7958	0.7958	0.0000	0.0000	0.0000
0	67	870.0000	373.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	67	869.0000	371.0000	870.0000	373.0000	0.7870	0.7870	0.0000	0.0000	0.0000
0	68	1040.0000	372.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	68	1040.0000	372.0000	1040.0000	372.0000	0.8079	0.8079	0.0000	0.0000	0.0000
0	69	808.0000	375.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	69	808.0000	374.0000	808.0000	375.0000	0.8037	0.8037	0.0000	0.0000	0.0000
0	70	1774.0000	374.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	70	1774.0000	374.0000	1774.0000	374.0000	0.7970	0.7970	0.0000	0.0000	0.0000
0	71	1746.0000	378.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	71	1746.0000	378.0000	1746.0000	378.0000	0.8014	0.8014	0.0000	0.0000	0.0000
0	72	1060.0000	381.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	72	1060.0000	383.0000	1060.0000	381.0000	0.7739	0.7739	0.0000	0.0000	0.0000
0	73	776.0000	384.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	73	776.0000	384.0000	776.0000	384.0000	0.8193	0.8193	0.0000	0.0000	0.0000
0	74	801.0000	385.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	74	801.0000	385.0000	801.0000	385.0000	0.8167	0.8167	0.0000	0.0000	0.0000
0	75	1041.0000	385.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	75	1041.0000	385.0000	1041.0000	385.0000	0.8090	0.8090	0.0000	0.0000	0.0000
0	76	926.0000	386.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	76	926.0000	386.0000	926.0000	386.0000	0.7830	0.7830	0.0000	0.0000	0.0000
0	77	1632.0000	387.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	77	1632.0000	387.0000	1632.0000	387.0000	0.7793	0.7793	0.0000	0.0000	0.0000
0	78	1582.0000	388.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	78	1582.0000	388.0000	1582.0000	388.0000	0.7929	0.7929	0.0000	0.0000	0.0000
0	79	1709.0000	388.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	79	1710.0000	388.0000	1709.0000	388.0000	0.7373	0.7373	0.0000	0.0000	0.0000
0	80	1023.0000	388.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	80	1023.0000	390.0000	1023.0000	388.0000	0.7784	0.7784	0.0000	0.0000	0.0000
0	81	912.0000	395.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	81	912.0000	395.0000	912.0000	395.0000	0.7941	0.7941	0.0000	0.0000	0.0000
0	82	1470.0000	395.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	82	1472.0000	395.0000	1470.0000	395.0000	0.7788	0.7788	0.0000	0.0000	0.0000
0	83	1232.0000	396.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	83	1232.0000	396.0000	1232.0000	396.0000	0.8001	0.8001	0.0000	0.0000	0.0000
0	84	1687.0000	397.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	84	1688.0000	397.0000	1687.0000	397.0000	0.7484	0.7484	0.0000	0.0000	0.0000
0	85	702.0000	398.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	85	702.0000	398.0000	702.0000	398.0000	0.7924	0.7924	0.0000	0.0000	0.0000
0	86	1191.0000	399.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	86	1191.0000	399.0000	1191.0000	399.0000	0.7992	0.7992	0.0000	0.0000	0.0000
0	87	1369.0000	398.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	87	1369.0000	398.0000	1369.0000	398.0000	0.8031	0.8031	0.0000	0.0000	0.0000
0	88	642.0000	400.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	88	642.0000	400.0000	642.0000	400.0000	0.8080	0.8080	0.0000	0.0000	0.0000
0	89	1006.0000	400.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	89	1006.0000	400.0000	1006.0000	400.0000	0.8078	0.8078	0.0000	0.0000	0.0000
0	90	1207.0000	400.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	90	1207.0000	400.0000	1207.0000	400.0000	0.7945	0.7945	0.0000	0.0000	0.0000
0	91	1681.0000	402.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	91	1682.0000	402.0000	1681.0000	402.0000	0.7677	0.7677	0.0000	0.0000	0.0000
0	92	635.0000	405.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	92	635.0000	405.0000	635.0000	405.0000	0.8172	0.8172	0.0000	0.0000	0.0000
0	93	680.0000	405.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	93	680.0000	405.0000	680.0000	405.0000	0.7911	0.7911	0.0000	0.0000	0.0000
0	94	976.0000	404.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	94	976.0000	404.0000	976.0000	404.0000	0.7696	0.7696	0.0000	0.0000	0.0000
0	95	1390.0000	404.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	95	1390.0000	404.0000	1390.0000	404.0000	0.7934	0.7934	0.0000	0.0000	0.0000
0	96	1443.0000	403.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	96	1445.0000	404.0000	1443.0000	403.0000	0.7982	0.7982	0.0000	0.0000	0.0000
0	97	1854.0000	405.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	97	1850.0000	405.0000	1854.0000	405.0000	0.5933	0.5933	0.0000	0.0000	0.0000
0	98	751.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	98	753.0000	407.0000	751.0000	407.0000	0.8029	0.8029	0.0000	0.0000	0.0000
0	99	1066.0000	404.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	99	1066.0000	406.0000	1066.0000	404.0000	0.7789	0.7789	0.0000	0.0000	0.0000
0	100	1089.0000	407.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	100	1089.0000	407.0000	1089.0000	407.0000	0.7921	0.7921	0.0000	0.0000	0.0000
0	101	1710.0000	406.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	101	1710.0000	406.0000	1710.0000	406.0000	0.7766	0.7766	0.0000	0.0000	0.0000
0	102	191.0000	411.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	102	191.0000	411.0000	191.0000	411.0000	0.7938	0.7938	0.0000	0.0000	0.0000
0	103	808.0000	411.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	103	808.0000	411.0000	808.0000	411.0000	0.7955	0.7955	0.0000	0.0000	0.0000
0	104	660.0000	412.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	104	660.0000	412.0000	660.0000	412.0000	0.8063	0.8063	0.0000	0.0000	0.0000
0	105	879.0000	414.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	105	879.0000	412.0000	879.0000	414.0000	0.7761	0.7761	0.0000	0.0000	0.0000
0	106	1006.0000	413.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	106	1006.0000	413.0000	1006.0000	413.0000	0.7561	0.7561	0.0000	0.0000	0.0000
0	107	1427.0000	412.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	107	1428.0000	412.0000	1427.0000	412.0000	0.7621	0.7621	0.0000	0.0000	0.0000
0	108	1343.0000	414.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	108	1343.0000	415.0000	1343.0000	414.0000	0.7658	0.7658	0.0000	0.0000	0.0000
0	109	1157.0000	416.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	109	1157.0000	416.0000	1157.0000	416.0000	0.7762	0.7762	0.0000	0.0000	0.0000
0	110	1686.0000	417.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	110	1684.0000	417.0000	1686.0000	417.0000	0.6713	0.6713	0.0000	0.0000	0.0000
0	111	995.0000	418.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	111	995.0000	418.0000	995.0000	418.0000	0.8066	0.8066	0.0000	0.0000	0.0000
0	112	1439.0000	419.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	112	1441.0000	419.0000	1439.0000	419.0000	0.7601	0.7601	0.0000	0.0000	0.0000
0	113	1699.0000	419.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	113	1699.0000	419.0000	1699.0000	419.0000	0.6065	0.6065	0.0000	0.0000	0.0000
0	114	818.0000	421.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	114	818.0000	421.0000	818.0000	421.0000	0.7905	0.7905	0.0000	0.0000	0.0000
0	115	639.0000	423.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	115	639.0000	423.0000	639.0000	423.0000	0.7736	0.7736	0.0000	0.0000	0.0000
0	116	1155.0000	423.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	116	1155.0000	423.0000	1155.0000	423.0000	0.8044	0.8044	0.0000	0.0000	0.0000
0	117	1486.0000	424.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	117	1488.0000	423.0000	1486.0000	424.0000	0.7915	0.7915	0.0000	0.0000	0.0000
0	118	1375.0000	425.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	118	1375.0000	425.0000	1375.0000	425.0000	0.7905	0.7905	0.0000	0.0000	0.0000
0	119	1575.0000	423.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	119	1577.0000	424.0000	1575.0000	423.0000	0.7862	0.7862	0.0000	0.0000	0.0000
0	120	112.0000	429.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	120	113.0000	429.0000	112.0000	429.0000	0.7766	0.7766	0.0000	0.0000	0.0000
0	121	339.0000	428.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	121	342.0000	428.0000	339.0000	428.0000	0.7999	0.7999	0.0000	0.0000	0.0000
0	122	664.0000	429.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	122	664.0000	429.0000	664.0000	429.0000	0.7379	0.7379	0.0000	0.0000	0.0000
0	123	984.0000	429.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	123	983.0000	429.0000	984.0000	429.0000	0.7843	0.7843	0.0000	0.0000	0.0000
0	124	1186.0000	428.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	124	1186.0000	428.0000	1186.0000	428.0000	0.8269	0.8269	0.0000	0.0000	0.0000
0	125	1543.0000	428.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	125	1545.0000	429.0000	1543.0000	428.0000	0.7924	0.7924	0.0000	0.0000	0.0000
0	126	1175.0000	431.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	126	1175.0000	431.0000	1175.0000	431.0000	0.8171	0.8171	0.0000	0.0000	0.0000
0	127	1217.0000	430.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	127	1217.0000	430.0000	1217.0000	430.0000	0.8028	0.8028	0.0000	0.0000	0.0000
0	128	650.0000	433.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	128	650.0000	433.0000	650.0000	433.0000	0.7699	0.7699	0.0000	0.0000	0.0000
0	129	1042.0000	434.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	129	1045.0000	434.0000	1042.0000	434.0000	0.7894	0.7894	0.0000	0.0000	0.0000
0	130	1196.0000	435.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	130	1196.0000	435.0000	1196.0000	435.0000	0.8391	0.8391	0.0000	0.0000	0.0000
0	131	103.0000	437.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	131	105.0000	437.0000	103.0000	437.0000	0.7985	0.7985	0.0000	0.0000	0.0000
0	132	1229.0000	436.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	132	1229.0000	436.0000	1229.0000	436.0000	0.7941	0.7941	0.0000	0.0000	0.0000
0	133	1244.0000	437.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	133	1244.0000	437.0000	1244.0000	437.0000	0.8179	0.8179	0.0000	0.0000	0.0000
0	134	1329.0000	438.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	134	1329.0000	438.0000	1329.0000	438.0000	0.7924	0.7924	0.0000	0.0000	0.0000
0	135	456.0000	440.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	135	460.0000	440.0000	456.0000	440.0000	0.8088	0.8088	0.0000	0.0000	0.0000
0	136	494.0000	440.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	136	497.0000	440.0000	494.0000	440.0000	0.8015	0.8015	0.0000	0.0000	0.0000
0	137	1112.0000	440.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	137	1113.0000	440.0000	1112.0000	440.0000	0.8018	0.8018	0.0000	0.0000	0.0000
0	138	648.0000	443.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	138	650.0000	443.0000	648.0000	443.0000	0.7986	0.7986	0.0000	0.0000	0.0000
0	139	674.0000	443.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	139	676.0000	443.0000	674.0000	443.0000	0.7922	0.7922	0.0000	0.0000	0.0000
0	140	1449.0000	444.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	140	1452.0000	443.0000	1449.0000	444.0000	0.8230	0.8230	0.0000	0.0000	0.0000
